name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Goiânia,2023-09-19,35,21,28.1,33.6,21,27.5,14.3,47.5,0,0,0,,0,0,19.8,20.4,80.8,1015.7,31.1,11,299.2,25.9,10,10,2023-09-19T06:09:15,2023-09-19T18:12:49,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2023-09-20,36.6,19.7,28.6,34.8,19.7,27.7,12.3,43.7,0,0,0,,0,0,33.5,12.5,87,1014,28.7,10.4,300.4,26,10,10,2023-09-20T06:08:26,2023-09-20T18:12:56,0.19,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2023-09-21,36.1,20.6,28.5,34.9,20.6,27.8,12.6,40.6,0,0,0,,0,0,25.2,10.9,62.4,1013.6,31.5,10.6,302.1,26.2,10,10,2023-09-21T06:07:37,2023-09-21T18:13:02,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2023-09-22,36.7,24.1,30.1,35.9,24.1,29.4,12.7,36.1,0,0,0,,0,0,35.3,12.9,34.1,1013,53.8,10.8,269.5,23.2,10,10,2023-09-22T06:06:48,2023-09-22T18:13:09,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2023-09-23,38,23.2,29.8,36.9,23.2,29.2,13.5,40.4,0,0,0,,0,0,29.9,12.7,338.2,1012.5,34.8,10.6,296,25.5,10,10,2023-09-23T06:05:59,2023-09-23T18:13:16,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2023-09-24,37.3,22.2,29.5,36.7,22.2,29.3,15.2,45.5,0,0,0,,0,0,12.6,8.8,302.9,1012.1,44.5,10.4,265.8,23,10,10,2023-09-24T06:05:10,2023-09-24T18:13:23,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2023-09-25,38.1,24.5,29.1,37.7,24.5,29.2,17.1,52.3,0.2,100,8.33,rain,0,0,27.7,17.8,314.5,1012,60.5,10.7,214.2,18.5,10,10,2023-09-25T06:04:21,2023-09-25T18:13:30,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2023-09-26,37.8,23.3,30,36.4,23.3,30.2,17.3,50.9,0,0,0,,0,0,15.1,13.4,241.4,1010.6,78.6,10.5,164.1,14.1,9,10,2023-09-26T06:03:32,2023-09-26T18:13:37,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2023-09-27,34.5,22.1,26.8,35.1,22.1,27.4,19.1,64.8,0,0,0,,0,0,55.4,25.2,330.4,1012.1,82,9.9,209,18,9,10,2023-09-27T06:02:44,2023-09-27T18:13:45,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2023-09-28,34.6,20.8,26.9,35.5,20.8,27.4,19.2,66.8,0.1,100,4.17,rain,0,0,35.3,16.3,351.6,1012.4,59.5,10.6,253.3,22,10,10,2023-09-28T06:01:55,2023-09-28T18:13:53,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
