name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Goiânia,2024-09-19,35.9,23.9,29.4,34.4,23.9,28.5,10.9,34.2,0,0,0,,0,0,36,18.3,78,1014.5,30.4,15.3,289.5,25,10,10,2024-09-19T06:08:39,2024-09-19T18:12:55,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBGO,SBAN"
Goiânia,2024-09-20,36.5,23.5,29.9,33.8,23.5,28.5,5.6,23.1,0,0,0,,0,0,40.7,17.3,75.2,1011.4,15.6,24.1,305.7,26.4,10,10,2024-09-20T06:07:50,2024-09-20T18:13:01,0.59,Clear,Clear conditions throughout the day.,clear-day,
Goiânia,2024-09-21,37.8,23.7,30.5,34.7,23.7,29,2.6,19.1,0,0,0,,0,0,44.6,20.2,72.6,1010.3,17.9,24.1,309.7,26.8,10,10,2024-09-21T06:07:00,2024-09-21T18:13:08,0.62,Clear,Clear conditions throughout the day.,clear-day,
Goiânia,2024-09-22,37.8,24.6,30.7,35.2,24.6,29.3,5.5,21.5,0,0,0,,0,0,51.1,24.1,76.4,1009.3,1.4,24.1,308,26.5,10,10,2024-09-22T06:06:11,2024-09-22T18:13:15,0.65,Clear,Clear conditions throughout the day.,clear-day,
Goiânia,2024-09-23,38.1,23.6,30.8,35.4,23.6,29.3,5.4,21.4,0,3.2,0,,0,0,42.1,20.5,81.3,1009.8,2.2,24.1,307.4,26.5,10,10,2024-09-23T06:05:22,2024-09-23T18:13:22,0.69,Clear,Clear conditions throughout the day.,clear-day,
Goiânia,2024-09-24,37.2,23.7,30.1,34.3,23.7,28.7,4.6,21.1,0,3.2,0,,0,0,34.9,19.1,78.9,1011,0,24.1,314.4,27,9,10,2024-09-24T06:04:33,2024-09-24T18:13:29,0.75,Clear,Clear conditions throughout the day.,clear-day,
Goiânia,2024-09-25,37.1,23.2,29.7,34.2,23.2,28.4,4,21,0,3.2,0,,0,0,30.2,18.4,82.1,1010.4,0,24.1,317.6,27.3,9,10,2024-09-25T06:03:45,2024-09-25T18:13:36,0.76,Clear,Clear conditions throughout the day.,clear-day,
Goiânia,2024-09-26,38.3,22.6,30.1,35.1,22.6,28.6,1.7,18.4,0,3.2,0,,0,0,32,20.2,81.6,1008.6,4.2,24.1,321,27.6,10,10,2024-09-26T06:02:56,2024-09-26T18:13:44,0.79,Clear,Clear conditions throughout the day.,clear-day,
Goiânia,2024-09-27,37.8,24.2,30.8,34.9,24.2,29.3,2.9,17.8,0,3.2,0,,0,0,32.4,19.1,76.4,1008.5,88.8,24.1,247.5,21.3,9,10,2024-09-27T06:02:08,2024-09-27T18:13:51,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Goiânia,2024-09-28,38.1,25.2,31.3,35.4,25.2,29.7,4,18.5,0,9.7,0,,0,0,26.9,9.7,122.3,1008.8,73.2,24.1,252.3,21.9,8,10,2024-09-28T06:01:19,2024-09-28T18:13:59,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Goiânia,2024-09-29,39.4,23.4,31.4,36.5,23.4,29.8,4.4,19.3,0,16.1,0,,0,0,41,15.1,96.4,1008.5,23.7,24.1,315.1,27.3,9,10,2024-09-29T06:00:31,2024-09-29T18:14:07,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Goiânia,2024-09-30,37.6,25,30.9,35.3,25,29.6,8.2,25.1,0.1,25.8,4.17,rain,0,0,49.3,20.9,79,1008.3,92.5,24.1,270.9,23.7,9,10,2024-09-30T05:59:44,2024-09-30T18:14:16,0.93,Overcast,Cloudy skies throughout the day.,cloudy,
Goiânia,2024-10-01,36.2,24.9,29.7,34,24.9,28.7,7.9,26.4,0.8,25.8,8.33,rain,0,0,43.2,18.7,89.2,1010.1,79,23.9,245,21,9,10,2024-10-01T05:58:56,2024-10-01T18:14:24,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Goiânia,2024-10-02,38.6,23.5,30.7,36.3,23.5,29.4,8.7,27.8,0.2,38.7,8.33,rain,0,0,28.1,13.3,76.7,1010.2,35.3,24.1,298.8,25.5,9,10,2024-10-02T05:58:09,2024-10-02T18:14:33,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Goiânia,2024-10-03,39.3,25.4,32.3,36.7,25.4,30.8,8.6,24.7,0,54.8,0,rain,0,0,22,11.5,334.8,1006.9,50.3,24.1,298.3,26,9,10,2024-10-03T05:57:22,2024-10-03T18:14:43,0.03,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain.,rain,
